gene_id,pfam_accessions
gene-Sec10,PF07393.18;PF20667.4
gene-Sec13,PF00400.39;PF12894.14;PF23381.2;PF23393.3;PF23411.2;PF23414.2;PF23609.2;PF23775.2;PF23869.2;PF24105.2;PF24782.3;PF24796.2;PF24805.2;PF24807.2;PF24814.2;PF24817.2;PF25047.1;PF25048.2;PF25172.2;PF25173.2;PF25174.2;PF25175.2;PF25391.2
gene-Sec15,PF04091.19;PF20651.4
gene-Sec16,PF12931.14
gene-Sec20,PF03908.19
gene-Sec22,PF00957.28;PF13774.13
gene-Sec23,PF00626.28;PF04810.21;PF04811.22;PF04815.21;PF08033.18
gene-Sec24AB,PF04810.21;PF04811.22;PF04815.21;PF08033.18
gene-Sec24CD,PF00626.28;PF04810.21;PF04811.22;PF04815.21;PF08033.18
gene-Sec31,PF00400.39;PF12931.14;PF21720.4;PF23381.2;PF23414.2;PF23609.2;PF23756.2;PF23775.2;PF24105.2;PF24796.2;PF24797.2;PF24805.2;PF24807.2;PF24814.2;PF24817.2;PF25047.1;PF25171.2;PF25173.2;PF25174.2;PF25175.2;PF25460.2
gene-Sec5,PF01833.31;PF15469.13
gene-Sec6,PF06046.20
gene-Sec61alpha,PF00344.26;PF10559.15
gene-Sec61beta,PF03911.22
gene-Sec63,PF00226.37;PF02889.22
gene-Sec71,PF01369.26;PF09324.16;PF12783.14;PF16213.12;PF20252.4
gene-Secp43,PF00076.29;PF17654.7
gene-Seipin,PF06775.20
gene-SelR,PF01641.27
gene-SelT,PF10262.16
gene-Sem1,PF05160.19
gene-Sema1a,PF01403.26;PF01437.32
gene-Sema2a,PF01403.26
gene-Sema5c,PF00090.26;PF01403.26;PF01437.32;PF19028.7;PF22195.3;PF23260.2
gene-Septin1,PF00009.34;PF00735.25;PF01926.30;PF03193.23
gene-Septin2,PF00735.25
gene-Septin4,PF00009.34;PF00735.25;PF01926.30;PF03193.23
gene-Ser,PF00008.34;PF01414.26;PF07657.20;PF12661.14;PF21700.4;PF21795.4;PF23575.2;PF25024.1
gene-Ser-4,PF00001.27;PF10320.16
gene-SerRS,PF00587.31;PF02403.28
gene-SerRS-m,PF00587.31
gene-Serinc,PF03348.22
gene-Sert,PF00209.25
gene-Set1,PF00076.29;PF00856.34;PF11764.14
gene-Set2,PF00397.33;PF00856.34;PF08236.18;PF17907.8
gene-Set8,PF00856.34
gene-Setd3,PF00856.34;PF09273.17
gene-Setx,PF00498.32;PF13086.13;PF13087.13;PF13245.13;PF13604.13
gene-Sf3a1,PF00240.30;PF01805.26;PF12230.14
gene-Sf3a2,PF12874.14;PF16835.11
gene-Sf3b1,PF02985.29;PF08920.16;PF13513.13;PF13646.13;PF20926.4;PF22646.3;PF23227.2;PF23271.2;PF24492.2;PF24714.2;PF24987.2;PF25757.2;PF25780.2
gene-Sf3b2,PF04037.19
gene-Sf3b3,PF03178.22;PF10433.16;PF23726.2
gene-Sf3b5,PF07189.17
gene-Sf3b6,PF00076.29
gene-Sfxn1-3,PF03820.23
gene-Sfxn2,PF03820.23
gene-Sgf11,PF08209.18
gene-Sgf29,PF07039.18
gene-Sgsh,PF00884.29;PF01663.28;PF16347.11
gene-Sgt1,PF04969.23;PF05002.21
gene-Sh3beta,PF04908.22
gene-Shab,PF00520.38;PF02214.29;PF07885.23
gene-Shal,PF00520.38;PF02214.29;PF07885.23;PF11601.14;PF11879.14
gene-Shark,PF00017.31;PF00023.37;PF00069.32;PF07714.24;PF12796.14;PF13606.13;PF13637.13;PF13857.13;PF24521.3
gene-Shaw,PF00520.38;PF02214.29;PF07885.23
gene-Shc,PF00017.31;PF00640.30
gene-Shmt,PF00464.26
gene-SiaT,PF00777.24
gene-Sik2,PF00069.32;PF07714.24;PF14531.13;PF23312.2
gene-Sin1,PF05422.18;PF16978.12;PF16979.12
gene-Sin3A,PF02671.27;PF08295.18;PF16879.11
gene-Sir-1,PF13965.13
gene-Sir-3,PF13965.13
gene-Sirt2,PF02146.24
gene-Sirt6,PF02146.24
gene-Sirt7,PF02146.24
gene-Skeletor,PF03351.23;PF10517.15;PF25489.2
gene-Ski6,PF01138.28
gene-SkpA,PF01466.25;PF03931.22
gene-Slbp,PF15247.12
gene-Sld5,PF05916.17;PF16922.12
gene-Slh,PF00995.29
gene-Slik,PF00069.32;PF07714.24;PF12474.14
gene-Slimp,PF00587.31
gene-Slmap,PF00498.32;PF27557.1
gene-Sln,PF07690.22
gene-Slu7,PF10500.15;PF11708.14
gene-SmB,PF01423.29
gene-SmD1,PF01423.29
gene-SmD2,PF01423.29
gene-SmD3,PF01423.29
gene-SmE,PF01423.29
gene-SmF,PF01423.29
gene-Smg5,PF10373.16;PF10374.16;PF13638.13
gene-Smg6,PF10373.16;PF10374.16;PF13638.13
gene-Smn,PF20635.2
gene-Smox,PF03165.23;PF03166.20
gene-Smr,PF00249.38;PF15784.11;PF27579.1
gene-Sms,PF01564.24;PF17284.8
gene-Smu1,PF00400.39;PF11715.17;PF12894.14;PF13570.14;PF16529.12;PF16755.12;PF17814.8;PF20426.5;PF23098.2;PF23342.2;PF23381.2;PF23383.2;PF23393.3;PF23409.2;PF23410.5;PF23411.2;PF23414.2;PF23419.3;PF23586.3;PF23609.2;PF23756.2;PF23761.2;PF23775.2;PF23798.2;PF23869.2;PF24017.3;PF24105.2;PF24780.2;PF24782.3;PF24796.2;PF24797.2;PF24805.2;PF24807.2;PF24814.2;PF24817.2;PF25047.1;PF25048.2;PF25168.2;PF25171.2;PF25172.2;PF25173.2;PF25174.2;PF25175.2;PF25178.1;PF25391.2;PF25460.2
gene-Smug,PF03167.26
gene-Smurf,PF00168.37;PF00397.33;PF00632.31
gene-Smyd3,PF01753.25
gene-Smyd4-3,PF00856.34;PF07719.24
gene-Smyd4-4,PF00856.34;PF01753.25
gene-Smyd5,PF00856.34
gene-SmydA-1,PF00856.34;PF01753.25
gene-Snap29,PF12352.14
gene-Snapin,PF14712.12
gene-Snf4agamma,PF00571.34
gene-Snmp1,PF01130.28
gene-Snmp2,PF01130.28
gene-Snoo,PF02437.24;PF08782.16
gene-Snr1,PF04855.18;PF21459.4
gene-Snrk,PF00069.32;PF07714.24;PF14531.13;PF23312.2
gene-Snup,PF21974.2
gene-Snx1,PF00787.30;PF09325.16;PF10456.15
gene-Snx16,PF00787.30
gene-Snx17,PF00787.30;PF18116.8;PF21271.3;PF21273.4
gene-Snx21,PF00787.30
gene-Snx27,PF00595.30;PF00787.30;PF00788.30;PF17820.8;PF21273.4;PF21989.3
gene-Snx3,PF00787.30
gene-Snx6,PF00787.30;PF09325.16
gene-Sobp,PF15279.12
gene-Sod1,PF00080.26
gene-Sod2,PF00081.28;PF02777.24
gene-Sol1,PF00431.27
gene-Son,PF00035.33;PF01585.29;PF14709.14
gene-Sos,PF00617.25;PF00618.26;PF00621.26
gene-Sou,PF10607.15
gene-Sox102F,PF00505.26;PF09011.17;PF24815.2
gene-Sox15,PF00505.26;PF09011.17;PF24815.2
gene-Sox21b,PF00505.26;PF09011.17
gene-SoxB3,PF00505.26;PF09011.17
gene-SoxN,PF00505.26;PF09011.17;PF12336.14
gene-Sp1,PF00096.33;PF13465.13;PF13894.13
gene-Spase12,PF06645.19
gene-Spase22-23,PF04573.18
gene-Spase25,PF06703.17
gene-SpdS,PF01564.24;PF17284.8
gene-Spf45,PF01585.29
gene-Spg7,PF00004.36;PF01434.25;PF06480.21;PF17862.8
gene-Spindly,PF28219.1
gene-Sply,PF00155.28;PF00266.26;PF00282.26;PF01041.24
gene-Spn,PF00595.30;PF17817.8
gene-SppL,PF04258.19
gene-Spred,PF00568.30;PF05210.19
gene-Sps1,PF00586.30;PF02769.28
gene-Spt-I,PF00155.28
gene-Spt5,PF00467.36;PF03439.19;PF11942.14;PF12815.13;PF23037.2;PF23042.3;PF23284.3;PF23287.2;PF23288.2;PF23290.2;PF23291.2;PF25088.2
gene-Spt6,PF00017.31;PF00575.30;PF12836.14;PF14632.12;PF14633.13;PF14635.13;PF14639.12;PF14641.12;PF17674.8;PF21710.4
gene-Sptr,PF00106.32;PF13561.13
gene-Sptz,PF01363.28;PF25569.2
gene-Spx,PF00076.29;PF16367.12
gene-Sqor,PF01266.31;PF07992.21
gene-Sra-1,PF05994.17;PF07159.18
gene-Sras,PF02517.22
gene-Src42A,PF00017.31;PF00069.32;PF07714.24
gene-Src64B,PF00017.31;PF00018.35;PF00069.32;PF07653.24;PF07714.24;PF14604.13
gene-Srp14,PF02290.21
gene-Srp19,PF01922.24
gene-Srp54,PF00076.29
gene-Srp54k,PF00448.29;PF02881.25;PF02978.27
gene-Srp68,PF16969.11
gene-Srp72,PF00515.35;PF07719.24;PF08492.18;PF12895.14;PF13176.13;PF13428.13;PF14559.13;PF17004.12
gene-Srp9,PF05486.18
gene-SrpRalpha,PF00448.29;PF02881.25;PF04086.20
gene-SrpRbeta,PF00025.28;PF00071.29;PF01926.30;PF04670.19;PF08477.20;PF09439.17
gene-Srrm1,PF01480.23
gene-Srx,PF02195.27
gene-SsRbeta,PF05753.21
gene-Ssadh,PF00171.28
gene-Ssb-c31a,PF02229.23
gene-Ssdp,PF04503.19
gene-Sse,PF03568.24
gene-Ssk,PF01284.29
gene-Ssl1,PF04056.21;PF07975.19;PF13519.13
gene-Ssrp,PF00505.26;PF03531.21;PF08512.19;PF09011.17;PF17292.9;PF21103.4;PF24815.2
gene-Ssu72,PF04722.19
gene-St2,PF00685.34
gene-Stacl,PF00018.35;PF00130.29;PF07653.24;PF14604.13;PF26085.1
gene-Stam,PF00018.35;PF00790.26;PF07653.24;PF14604.13
gene-Start1,PF01852.26;PF10457.15
gene-Stat92E,PF00017.31;PF01017.27;PF02864.21;PF02865.23;PF21354.4
gene-Stim,PF00536.38;PF07647.25;PF16533.11;PF25578.2
gene-Stip1,PF00515.35;PF01239.29;PF07719.24;PF09976.16;PF12569.15;PF12895.14;PF13174.13;PF13176.13;PF13181.13;PF13371.13;PF13374.13;PF13414.13;PF13424.13;PF13428.13;PF13429.13;PF13431.13;PF13432.13;PF14559.13;PF17830.7;PF23914.2;PF24575.2;PF25068.3;PF25575.1
gene-Stlk,PF00069.32;PF07714.24
gene-Stoml2,PF01145.32;PF16200.11
gene-Strip,PF07923.19;PF11882.14
gene-Strump,PF10266.15
gene-Stt3A,PF02516.21;PF21436.3;PF22627.1
gene-Stt3B,PF02516.21;PF21436.3
gene-Su(H),PF09270.17;PF09271.17;PF20144.6
gene-Su(P),PF00462.31;PF02798.27;PF13409.13;PF13417.13
gene-Su(Tpl),PF07303.19;PF10390.16
gene-Su(dx),PF00168.37;PF00397.33;PF00632.31
gene-Su(fu),PF05076.19;PF12470.14
gene-Su(var)2-10,PF02891.27;PF14324.13
gene-Su(var)3-3,PF01266.31;PF01593.31;PF04433.24;PF07992.21;PF13450.13
gene-Su(z)12,PF09733.15;PF23320.2
gene-Sugb,PF01306.26;PF03825.23;PF07690.22;PF12832.14
gene-Sulf1,PF00884.29;PF12548.14;PF16347.11
gene-Sult,PF00685.34;PF13469.13
gene-Sumo,PF00240.30;PF11976.15
gene-Sur,PF00005.34;PF00350.30;PF00664.29;PF02463.26;PF13481.13;PF13555.13
gene-Sur-8,PF00560.40;PF12799.14;PF13855.13;PF14580.13;PF23286.1;PF23598.2;PF25019.1
gene-Surf1,PF02104.21
gene-Surf4,PF02077.21
gene-Suv3,PF00271.38;PF12513.16;PF18114.8;PF18147.7;PF22527.3
gene-Svil,PF00626.28;PF02209.25;PF25480.2
gene-Svip,PF15811.12
gene-Swim,PF00112.30
gene-Swip-1,PF00036.39;PF13202.13;PF13405.13;PF13499.13;PF13833.13;PF21008.4
gene-Swt1,PF00397.33;PF13638.13
gene-Sxl,PF00076.29;PF22976.3
gene-Sym,PF11935.15;PF12295.14
gene-Syn,PF02078.23;PF02750.19
gene-Syn1,PF00595.30;PF18012.8;PF23012.3
gene-Syn2,PF00595.30;PF23012.3
gene-Synd,PF00018.35;PF00611.29;PF07653.24;PF14604.13
gene-Syngr,PF01284.29
gene-Synj,PF02383.24;PF08952.18;PF22669.3
gene-Sys1,PF09801.15
gene-Syt14,PF00168.37
gene-Syt4,PF00168.37
gene-Syt7,PF00168.37
gene-Syti,PF00168.37
gene-Syx13,PF05739.26;PF14523.13
gene-Syx16,PF05739.26
gene-Syx17,PF26585.1
gene-Syx18,PF10496.15
gene-Syx1A,PF00804.32;PF05739.26;PF14523.13
gene-Syx5,PF05739.26;PF11416.14
gene-Syx6,PF05739.26;PF09177.16
gene-Syx7,PF05739.26;PF14523.13
gene-T3dh,PF00465.26;PF13685.13;PF25137.1
gene-TAF1B,PF20645.3
gene-TAR2,PF00001.27;PF10320.16;PF13853.13
gene-TBC1D16,PF00566.26;PF23436.2
gene-TBC1D23,PF00566.26;PF00581.26;PF19430.4
gene-TBC1D5,PF00566.26
gene-TBC1d7,PF00566.26;PF23436.2
gene-TBCB,PF01302.32;PF14560.13
gene-TBCC,PF07986.18;PF16752.11
gene-TBCD,PF12612.14;PF13513.13;PF13646.13;PF23579.2;PF25767.2
gene-TDRD12,PF00270.36;PF00567.31;PF04969.23
gene-TER94,PF00004.36;PF00910.29;PF01057.24;PF01078.28;PF01637.25;PF02359.25;PF02933.24;PF05496.19;PF06068.20;PF06745.20;PF07724.21;PF07728.21;PF09336.17;PF12775.14;PF13173.13;PF13191.13;PF13207.13;PF13401.13;PF13521.13;PF13671.13;PF17862.8;PF20720.4;PF24883.3
gene-TFAM,PF00505.26;PF09011.17
gene-TH1,PF04858.19
gene-THADA,PF10350.16;PF25150.2;PF25151.2
gene-THG,PF04446.18;PF14413.12
gene-TM9SF2,PF02990.22
gene-TM9SF3,PF02990.22
gene-TM9SF4,PF02990.22
gene-TOR1,PF00454.34;PF02259.30;PF02260.26;PF08771.17;PF11865.15;PF13513.13;PF14559.13;PF23227.2;PF23271.2;PF23593.2;PF25574.2
gene-TPT,PF00892.27;PF03151.23
gene-TRAM,PF03798.22
gene-TSG101,PF05743.19;PF09454.16
gene-TTLL12,PF03133.21;PF25556.2
gene-TTLL15,PF03133.21
gene-TTLL5,PF03133.21
gene-Tace,PF00200.29;PF01421.26;PF13574.13;PF13582.13;PF13688.13;PF16698.11
gene-Taf1,PF00439.31;PF09247.17;PF12157.14;PF15288.12
gene-Taf11,PF04719.21
gene-Taf12,PF03847.20
gene-Taf13,PF02269.23
gene-Taf2,PF01433.27;PF25316.2;PF25577.2
gene-Taf3,PF00628.36;PF07524.20
gene-Taf5,PF00400.39;PF04494.21;PF12894.14;PF23342.2;PF23381.2;PF23383.2;PF23393.3;PF23409.2;PF23410.5;PF23414.2;PF23419.3;PF23609.2;PF23775.2;PF23869.2;PF24105.2;PF24780.2;PF24782.3;PF24796.2;PF24805.2;PF24807.2;PF24814.2;PF24817.2;PF25047.1;PF25048.2;PF25168.2;PF25171.2;PF25172.2;PF25173.2;PF25174.2;PF25175.2;PF25178.1;PF25391.2;PF25460.2
gene-Taf8,PF07524.20;PF10406.15
gene-Taf9,PF02291.22;PF07524.20;PF15511.13;PF15630.13
gene-Tak1,PF00069.32;PF07714.24;PF27575.1
gene-Taldo,PF00923.26
gene-Tango10,PF00651.38;PF07707.22;PF23651.2
gene-Tango11,PF05644.17
gene-Tango14,PF01255.25
gene-Tango2,PF05742.18
gene-Tango4,PF00400.39;PF12894.14;PF20426.5;PF23098.2;PF23381.2;PF23383.2;PF23393.3;PF23409.2;PF23410.5;PF23414.2;PF23419.3;PF23586.3;PF23609.2;PF23761.2;PF23798.2;PF23869.2;PF24017.3;PF24105.2;PF24780.2;PF24782.3;PF24796.2;PF24805.2;PF24807.2;PF24814.2;PF24817.2;PF25047.1;PF25048.2;PF25168.2;PF25171.2;PF25172.2;PF25173.2;PF25174.2;PF25175.2;PF25178.1;PF25391.2
gene-Tango5,PF02037.34;PF09335.17;PF27639.1
gene-Tango6,PF10304.16;PF10363.16;PF23565.2;PF25267.2
gene-Tango9,PF00892.27;PF04142.22;PF06027.19
gene-Tao,PF00069.32;PF07714.24
gene-Tap42,PF04177.19
gene-Tapdelta,PF05404.18
gene-Tasp1,PF01112.24
gene-Taz,PF01553.27
gene-Tbc1d15-17,PF00566.26;PF12068.15;PF23436.2
gene-Tbc1d22,PF00566.26;PF23436.2
gene-Tbc1d8-9,PF00566.26;PF02893.27;PF23436.2
gene-Tbca,PF02970.23
gene-Tbce,PF01302.32;PF12799.14;PF14580.13
gene-Tbh,PF01082.26;PF03351.23;PF03712.21
gene-Tbp,PF00352.28
gene-Tcs1,PF01300.25
gene-Tcs3,PF00814.32;PF22521.3
gene-Tctp,PF00838.25
gene-Tdc2,PF00282.26
gene-Tdh,PF01073.26;PF01370.28;PF02719.22;PF04321.24;PF07993.19;PF16363.12
gene-Teh1,PF16972.10
gene-Teh2,PF16972.10
gene-Teh3,PF16972.10
gene-Tektin-A,PF03148.20
gene-Ten-a,PF05593.20;PF07974.20;PF15636.12;PF23093.2;PF23106.2;PF24329.2;PF25020.2;PF25021.2;PF25023.2;PF25024.1
gene-Ten-m,PF05593.20;PF07974.20;PF15636.12;PF23093.2;PF23106.2;PF23538.2;PF24329.2;PF25020.2;PF25021.2;PF25023.2;PF25024.1
gene-Tert,PF00078.33;PF12009.14
gene-Tes,PF00412.29;PF06297.20
gene-Tet,PF12851.14
gene-Tf,PF00405.23;PF12974.13
gene-TfAP-2,PF03299.20
gene-TfIIA-L,PF03153.19
gene-TfIIA-S,PF02268.22;PF02751.20
gene-TfIIB,PF00134.29;PF00382.25;PF08271.18
gene-TfIIEalpha,PF02002.24;PF11521.14
gene-TfIIEbeta,PF02186.22;PF18121.8
gene-TfIIFalpha,PF05793.19
gene-TfIIS,PF01096.24;PF07500.20;PF08711.17
gene-Tfb1,PF03909.23;PF08567.18
gene-Tfb4,PF03850.21
gene-Tfb5,PF06331.18
gene-Tgi,PF07545.20;PF15245.12
gene-Tgs1,PF01170.25;PF02475.24;PF09445.17;PF13649.13;PF13847.13
gene-Tgt,PF01702.26
gene-Theg,PF14912.12
gene-Thor,PF05456.17
gene-ThrRS,PF00587.31;PF02824.28;PF03129.26;PF07973.20
gene-Tif-IA,PF05327.18
gene-Tim10,PF02953.21
gene-Tim23,PF02466.25
gene-Tim8,PF02953.21
gene-Tim9a,PF02953.21
gene-Time,PF00080.26
gene-Timp,PF00965.24
gene-Tip60,PF01853.25;PF11717.15;PF17772.8
gene-Tis11,PF00642.31;PF14608.13;PF18044.8;PF18345.8;PF25427.3;PF25585.2
gene-Tkz,PF00069.32;PF00754.32;PF07714.24;PF21114.4
gene-Tlk,PF00069.32;PF07714.24
gene-Tm,PF01918.28;PF12328.14
gene-Tm1,PF00261.26
gene-Tm2,PF00261.26;PF05335.19;PF06009.20;PF08614.17;PF12795.13;PF19220.7;PF24161.2
gene-Tmc,PF07810.19
gene-Tmem131,PF12371.15;PF15780.12;PF22073.3;PF24495.2;PF24499.2;PF24501.2
gene-Tmem18,PF14770.12
gene-Tmem214,PF10151.15
gene-Tmem43,PF07787.18
gene-Tmem63,PF02714.21;PF13967.12;PF14703.13
gene-Tmep,PF03619.23
gene-Tmf,PF12325.14;PF12329.14
gene-Tmhs,PF10242.15;PF13903.12
gene-Tmlh,PF02668.23;PF06155.18
gene-Tmtc2,PF00515.35;PF07719.24;PF07721.21;PF08409.17;PF13174.13;PF13176.13;PF13181.13;PF13371.13;PF13374.13;PF13414.13;PF13424.13;PF13428.13;PF13431.13;PF13432.13;PF14559.13;PF21033.5;PF23914.2;PF24575.2
gene-Tmtc3,PF00515.35;PF04733.21;PF07719.24;PF07721.21;PF08409.17;PF12895.14;PF13174.13;PF13176.13;PF13181.13;PF13231.13;PF13371.13;PF13374.13;PF13414.13;PF13424.13;PF13428.13;PF13431.13;PF13432.13;PF14559.13;PF17874.8;PF21033.5;PF23914.2;PF24575.2;PF25058.2;PF25060.1;PF25062.2;PF25063.1;PF25064.2
gene-Tnks,PF00023.37;PF00536.38;PF00644.27;PF07647.25;PF12796.14;PF13606.13;PF13637.13;PF13857.13;PF23745.2;PF24521.3
gene-Tnpo,PF00514.30;PF01602.27;PF02985.29;PF03810.26;PF12460.15;PF12717.14;PF12755.14;PF13513.13;PF13646.13;PF20168.5;PF23227.2;PF23271.2;PF24714.2;PF24987.2;PF25574.2;PF25757.2;PF25780.2
gene-Tnpo-SR,PF08389.19;PF24138.2;PF24139.2;PF24140.2
gene-Tob,PF07742.18
gene-Toll-6,PF00560.40;PF01582.26;PF12799.14;PF13306.13;PF13676.12;PF13855.13;PF14580.13;PF23598.2
gene-Tollo,PF00560.40;PF01582.26;PF12799.14;PF13306.13;PF13676.12;PF13855.13;PF14580.13
gene-Tom70,PF00515.35;PF07719.24;PF12569.15;PF12895.14;PF13176.13;PF13181.13;PF13371.13;PF13374.13;PF13414.13;PF13424.13;PF13428.13;PF13431.13;PF13432.13;PF14559.13;PF23914.2;PF25062.2;PF25063.1;PF25575.1
gene-Tomosyn,PF00957.28;PF08366.19;PF08596.17;PF12894.14;PF23381.2;PF23414.2;PF23756.2;PF23775.2;PF24807.2;PF24817.2;PF25047.1;PF25171.2;PF25173.2;PF25174.2;PF25175.2
gene-Top1,PF01028.26;PF02919.21;PF14370.12
gene-Top2,PF00204.32;PF00521.27;PF01751.29;PF02518.32;PF16898.11
gene-Top3alpha,PF01131.26;PF01396.25;PF01751.29;PF06839.18
gene-Top3beta,PF01131.26;PF01751.29;PF23546.2
gene-Torsin,PF00004.36;PF06309.18;PF07724.21;PF21376.4
gene-Tpi,PF00121.25
gene-TpnC25D,PF00036.39;PF12763.14;PF13202.13;PF13405.13;PF13499.13;PF13833.13;PF14658.13;PF20742.4;PF21008.4;PF24548.2
gene-TpnC41C,PF00036.39;PF12763.14;PF13202.13;PF13405.13;PF13499.13;PF13833.13;PF14658.13;PF21008.4
gene-TpnT,PF00992.26
gene-TppII,PF00082.28;PF12580.15;PF12583.15;PF21223.4;PF21316.4
gene-Tpr2,PF00226.37;PF00515.35;PF07719.24;PF12895.14;PF13174.13;PF13176.13;PF13181.13;PF13371.13;PF13414.13;PF13424.13;PF13428.13;PF13431.13;PF13432.13;PF14559.13;PF23914.2;PF25060.1;PF25575.1
gene-Tps1,PF00982.28;PF02358.23
gene-Tpst,PF00685.34;PF13469.13
gene-Tra2,PF00076.29
gene-Traf-like,PF21355.4;PF22486.3
gene-Traf4,PF02176.25;PF21355.4;PF22486.3
gene-Trap1,PF00183.24;PF13589.13
gene-Trax,PF01997.22
gene-Trc8,PF00097.32;PF12678.14;PF13639.13;PF13705.12;PF13923.13
gene-Tre1,PF00001.27;PF10320.16
gene-Treh-2,PF01204.25;PF22422.3
gene-Tret1,PF00083.31;PF07690.22
gene-Trhn,PF00351.27;PF01842.32
gene-Trim9,PF00041.28;PF00622.37;PF00643.30;PF13445.13;PF13920.13;PF15227.13;PF22586.2;PF27984.1
gene-Trm1,PF02005.23
gene-Trmt112,PF03966.23
gene-Trmt6,PF04189.19
gene-Trmt61,PF08704.17;PF13847.13
gene-Trp1,PF03839.22
gene-TrpA1,PF00023.37;PF00520.38;PF12796.14;PF13606.13;PF13637.13;PF13857.13;PF24521.3
gene-TrpRS,PF00579.32
gene-Trpm,PF00520.38;PF16519.11;PF18139.8;PF18171.7;PF23317.2;PF25508.2
gene-Trs20,PF04628.20
gene-Trs23,PF04099.19;PF04628.20
gene-Trs31,PF04051.22
gene-Trs33,PF04051.22
gene-Trx2,PF00085.27;PF00578.28;PF13098.14;PF13905.13
gene-Trxr1,PF00070.34;PF01262.28;PF01266.31;PF02852.29;PF03486.21;PF07992.21;PF13434.13;PF13738.13
gene-Tsc1,PF04388.18
gene-Tsen2,PF01974.24;PF02778.20
gene-Tsen34,PF01974.24;PF26577.1
gene-Tsen54,PF12928.13
gene-Tsf2,PF00405.23;PF12974.13
gene-Tsp,PF02412.24;PF05735.20;PF07645.22;PF12662.14
gene-Tsp26A,PF00335.27
gene-Tsp2A,PF00335.27
gene-Tsp68C,PF00335.27
gene-Tsp97E,PF00335.27
gene-Tsr1,PF04950.19;PF08142.19;PF22298.3
gene-Tssk,PF00069.32;PF07714.24;PF14531.13
gene-Ttc19,PF00515.35;PF07719.24;PF13181.13;PF13424.13
gene-Ttc26,PF12895.14;PF13174.13;PF14559.13
gene-Ttc30,PF00515.35;PF07719.24;PF12895.14;PF13181.13;PF13424.13;PF13428.13;PF13432.13;PF14559.13;PF21033.5;PF24575.2;PF25063.1
gene-Ttc7,PF00515.35;PF07719.24;PF13181.13;PF13371.13;PF13414.13;PF13428.13;PF13431.13;PF19440.6;PF23914.2
gene-Ttd14,PF13521.13
gene-Tti1,PF21547.4;PF24173.2;PF24176.2;PF24181.2
gene-Tua1,PF00091.32;PF03953.23
gene-Tua2,PF00091.32;PF03953.23
gene-Tua3,PF00091.32;PF03953.23
gene-Tub1,PF00091.32;PF03953.23
gene-Tudor-SN,PF00565.24;PF00567.31
gene-Tusp,PF01167.25;PF12894.14;PF23381.2;PF23389.2;PF24797.2;PF24807.2;PF25173.2;PF25174.2;PF25175.2
gene-TwdlE,PF03103.23
gene-TwdlT,PF03103.23
gene-Txl,PF00085.27;PF06201.20
gene-Tyms,PF00303.25
gene-TyrRS,PF00579.32;PF01588.27
gene-TyrRS-m,PF00579.32;PF22421.2
gene-U2A,PF12799.14;PF13855.13;PF14580.13
gene-U2af38,PF00076.29;PF00642.31
gene-U2af50,PF00076.29
gene-U3-55K,PF00400.39;PF20426.5;PF23381.2;PF23393.3;PF23409.2;PF23414.2;PF23760.2;PF23761.2;PF23775.2;PF23869.2;PF24017.3;PF24105.2;PF24780.2;PF24782.3;PF24796.2;PF24805.2;PF24807.2;PF24814.2;PF24817.2;PF25047.1;PF25048.2;PF25168.2;PF25171.2;PF25172.2;PF25173.2;PF25174.2;PF25175.2;PF25178.1;PF25391.2
gene-U4-U6-60K,PF00400.39;PF08799.18;PF12894.14;PF23381.2;PF23393.3;PF23409.2;PF23414.2;PF23609.2;PF23761.2;PF23775.2;PF23869.2;PF24105.2;PF24780.2;PF24782.3;PF24796.2;PF24805.2;PF24807.2;PF24814.2;PF24817.2;PF25047.1;PF25048.2;PF25168.2;PF25171.2;PF25172.2;PF25173.2;PF25174.2;PF25175.2;PF25391.2;PF25460.2
gene-UBL3,PF13881.13
gene-UGP,PF01704.25
gene-UGT39B1,PF00201.25;PF04101.23;PF06722.19
gene-UGT46A2,PF00201.25;PF06722.19
gene-UGT47A1,PF00201.25;PF04101.23;PF06722.19
gene-UGT48C1,PF00201.25;PF04101.23;PF06722.19
gene-UK114,PF01042.27
gene-UQCR-C1,PF00675.26;PF05193.27
gene-UQCR-C2,PF00675.26;PF05193.27
gene-UQCR-Q,PF02939.22
gene-USP,PF00104.36;PF00105.25
gene-Uba1,PF00899.28;PF09358.16;PF10585.15;PF16190.12;PF16191.11
gene-Uba2,PF00899.28;PF10585.15;PF14732.12
gene-Uba3,PF00899.28;PF08825.16
gene-Uba4,PF00899.28
gene-Uba5,PF00899.28
gene-Ubc10,PF00179.32
gene-Ubc13,PF00179.32
gene-Ubc4,PF00179.32
gene-Ubc6,PF00179.32
gene-Ubc7,PF00179.32
gene-UbcE2H,PF00179.32
gene-UbcE2M,PF00179.32
gene-Ube2g1,PF00179.32
gene-Ube3a,PF00632.31;PF16558.11
gene-Ube4A,PF04564.22;PF10408.15
gene-Ube4B,PF04564.22;PF10408.15
gene-Ublcp1,PF00240.30;PF03031.25
gene-Ubqn,PF00240.30;PF00627.38;PF11976.15;PF17830.7;PF23195.2
gene-Ubr1,PF02207.26;PF02617.23;PF18995.6;PF22960.3
gene-Ubr3,PF02207.26;PF18995.6;PF22960.3
gene-Ubx,PF00046.36
gene-Uccr,PF02271.22
gene-Uch,PF01088.28
gene-Uch-L5,PF01088.28;PF18031.7
